,DPSA1,FNSA3,FPSA1,MW,nCl,FPSA3,nH,MOMI-X,MOMI-Y,MOMI-Z,FilterItLogS,SLogP,label
889,265.4362854745947,-0.05118293681776386,0.7158669432564202,353.1851749760006,0,0.05128442594811117,23,5417.0297837251155,4414.746450366599,1765.9000102088064,-4.722483391638947,2.8199000000000005,1
890,276.7173870240493,-0.05311773784869598,0.769692262023,316.1569116280006,0,0.04541047913220372,24,3270.891425056981,2390.9396411430102,1651.954249677451,-2.3746386872378595,0.5024999999999997,0
891,17.00961753303522,-0.1129312107236006,0.5104146578721553,584.0276309800004,0,0.05467925929240198,20,19925.35938328444,18712.75499949368,2850.5136270963194,-2.6982469276471965,0.9987200000000008,1
892,82.85672280700538,-0.08883734056649839,0.6123600310868913,194.08037556,0,0.058125534619459164,10,1312.8680216432213,902.4708466802464,467.5584438806366,-2.2043465173123376,-0.17710000000000065,0
893,164.9440004974397,-0.12163558509907656,0.6077092080438002,543.1740607480007,0,0.049881283671825837,29,10957.280278737115,7814.263998028063,4831.049172055624,-3.0086895302066066,0.0012999999999999126,1
894,-7.704267290738358,-0.1295299759704374,0.488700991838313,163.030314148,0,0.05196817335930109,9,1114.5268930125628,976.2773007703128,228.17030725419446,-0.19589909687497106,-0.4945,1
895,194.83017617995026,-0.06531909721899193,0.6369757184046715,448.1818339060008,0,0.032333640836344546,28,9703.859865510089,7931.019117108072,2438.280839046838,-7.059190564343941,3.9603000000000033,1
896,210.20522993831142,-0.10476368982407316,0.6418039531240882,541.1947961920007,0,0.04654378116319267,31,12889.260079930305,11483.565666194165,2522.0919335262715,-3.6475801976384745,0.8737999999999999,1
897,745.9563815941859,-0.055983604747082236,0.7526350301499278,1236.7485118980028,0,0.03723131730131317,109,51500.340279252814,47021.39906887079,21509.249171512205,-11.27221560406296,5.604900000000017,0
898,174.20280010455463,-0.045301085345350205,0.6190109870135512,469.22445294400086,1,0.03328494129582472,32,12098.07321468936,11189.080124680735,2014.273132651495,-5.599906286540398,3.5519000000000025,0
899,161.3243508539617,-0.08572791755155773,0.6248624777590666,421.16377083600077,0,0.04465732038813679,23,8796.941376726914,7768.431786531228,1477.9844357289846,-5.102515242160827,1.8468,0
900,74.7203016689903,-0.12584063562947478,0.6127204258375505,171.064391148,0,0.057630786032279474,9,896.3669433399872,604.3141954874,387.05971114258836,-0.8824210444257117,0.09201999999999994,1
901,129.31730956983068,-0.1007712073443614,0.5930351577748217,430.1392690740005,0,0.053758903639970566,27,8880.874430162758,7082.687715318509,2781.1398078881953,1.3207635437799397,1.0550999999999997,0
902,168.21912165493194,-0.10836022341156988,0.6782373959709844,270.1328050560004,0,0.04589617640354834,18,3241.9538123316315,2837.7662529792387,689.4835405609465,-1.122882164575855,-0.20717999999999992,1
903,-1.7514130764530478,-0.0957721303525577,0.4981630027993541,281.0800412120003,0,0.038773907991191764,11,2970.3603195306328,1740.1143263963515,1545.234116853469,-4.511439083399154,2.3843,1
904,140.35539884886848,-0.052361120183524366,0.6123214294088313,381.1852552280007,0,0.03853822632463405,24,9264.10119927547,9087.52815698821,1266.8726108741885,-5.172355602903923,3.7687000000000017,1
905,399.5180894776127,-0.05110282336774077,0.7102624965711116,643.2927364000011,0,0.03425273040450433,45,16391.958980086496,10188.611687932236,9277.99439667292,-7.098504712652486,3.8869000000000034,1
